Activity Year,Respondent Identification Number,Agency Code,Parent Identification Number,Parent Name,Parent City,Parent State,Region,Assets,Other Lender Code,Respondent Name,Respondent Address,Respondent City,Respondent State,Respondent Zip Code,Tax ID
2008,0000000001,1,          ,                              ,                         ,  ,05,0653269000,0,WACHOVIA BANK NA              ,301 S COLLEGE ST                        ,CHARLOTTE                ,NC,28202     ,22-1147033
2008,0000000008,1,          ,                              ,                         ,  ,03,1318888000,0,JPMORGAN CHASE BANK  NA       ,1111 POLARIS PARKWAY                    ,COLUMBUS                 ,OH,43240-2031,13-4994650
2008,0000000024,1,          ,                              ,                         ,  ,03,0232759503,0,US BANK  N.A.                 ,777 EAST WISCONSIN AVE                  ,MILWAUKEE                ,WI,53202-5300,31-0841368
2008,0000000047,1,          ,                              ,                         ,  ,03,0002151797,0,FIRST FINANCIAL BANK NA       ,1401 S THIRD ST                         ,TERRE HAUTE              ,IN,47802     ,35-0704860
2008,0000000056,1,          ,                              ,                         ,  ,03,0003338527,0,FIRST FINANCIAL BANK          ,300 HIGH STREET                         ,HAMILTON                 ,OH,45011     ,31-0308605
2008,0000000086,1,          ,                              ,                         ,  ,03,0000056823,0,FIRST NATIONAL BANK OF GERMANT,17 NORTH MAIN STREET                    ,GERMANTOWN               ,OH,45327-1349,31-0294798
2008,0000000113,1,          ,                              ,                         ,  ,03,0000219392,0,FIRST NATIONAL BANK DANVILLE  ,PO BOX 1010                             ,DANVILLE                 ,IL,61834-1010,37-0238115
2008,0000000148,1,          ,                              ,                         ,  ,01,0000911170,0,FIRST NATIONAL BANK OF CC     ,P. O. BOX 523                           ,WEST CHESTER             ,PA,19381-0523,23-1209886
2008,0000000182,1,          ,                              ,                         ,  ,04,0000104179,0,FIRST NATIONAL BANK TRUST CO  ,630 DELAWARE STREET                     ,LEAVENWORTH              ,KS,66048     ,48-1175601
2008,0000000209,1,          ,                              ,                         ,  ,04,0009249836,0,FIRST NATIONAL BANK OF OMAHA  ,1620 DODGE STREET                       ,OMAHA                    ,NE,68197     ,47-0259043
2008,0000000249,1,          ,                              ,                         ,  ,01,0005911677,0,FIRST NATIONAL BANK OF PA     ,3320 E STATE ST                         ,HERMITAGE                ,PA,16148     ,25-1255405
2008,0000000311,1,          ,                              ,                         ,  ,01,0000911378,0,ADAMS COUNTY NATIONAL BANK    ,LOAN SERVICES PO BOX 3L29               ,GETTYSBURG               ,PA,17325     ,23-0581360
2008,0000000324,1,          ,                              ,                         ,  ,01,0000594107,0,FIRST NATIONAL BANK & TRUST CO,40 SOUTH STATE STREET                   ,NEWTOWN                  ,PA,18940     ,23-0916895
2008,0000000325,1,          ,                              ,                         ,  ,01,0000374703,0,FNB BANK  N.A.                ,100 INDEPENDENCE ST                     ,SHAMOKIN                 ,PA,17872     ,24-0558097
2008,0000000336,1,          ,                              ,                         ,  ,05,0036725591,0,FIRST TENNESSEE BANK NA       ,165 MADISON                             ,MEMPHIS                  ,TN,38103     ,62-0201385
2008,0000000347,1,          ,                              ,                         ,  ,03,0000055425,0,FNB LACON                     ,111 S BROAD ST   PO BOX 308             ,LACON                    ,IL,61540     ,36-1078900
2008,0000000497,1,          ,                              ,                         ,  ,01,0000184212,0,THE FIRST NATIONAL BANK OF SUF,30 BRIDGE STREET  P.O. BOX 96           ,SUFFIELD                 ,CT,06078     ,06-0343370
2008,0000000568,1,          ,                              ,                         ,  ,01,0000687460,0,FIRST KEYSTONE NATIONAL BANK  ,111 WEST FRONT STREET                   ,BERWICK                  ,PA,18603     ,24-0525403
2008,0000000644,1,          ,                              ,                         ,  ,01,0000448238,0,THE HONESDALE NATIONAL BANK   ,733 MAIN ST  PO BOX 350                 ,HONESDALE                ,PA,18431     ,24-0614415
2008,0000000661,1,          ,                              ,                         ,  ,01,0000545529,0,DNB FIRST  NA                 ,4 BRANDYWINE AVE.                       ,DOWNINGTOWN              ,PA,19335     ,23-0534545
2008,0000000676,1,          ,                              ,                         ,  ,01,0000227259,0,NATIONAL GRAND BANK           ,91 PLEASANT STREET                      ,MARBLEHEAD               ,MA,01945     ,04-2832782
2008,0000000709,1,          ,                              ,                         ,  ,01,0000506848,0,1ST NATIONAL BK OF LITCHFIELD ,13 NORTH STREET PO BOX 578              ,LITCHFIELD               ,CT,06759     ,06-0343400
2008,0000000786,1,          ,                              ,                         ,  ,03,0138755343,0,NATIONAL CITY BANK            ,1900 E NINTH ST  LOC 01-3144            ,CLEVELAND                ,OH,44114     ,34-0420310
2008,0000000866,1,          ,                              ,                         ,  ,01,0000325793,0,THE MILFORD NATIONAL BANK     ,300 EAST MAIN ST                        ,MILFORD                  ,MA,01757     ,04-1620797
2008,0000000929,1,          ,                              ,                         ,  ,01,0000187610,0,NATIONAL UNION BANK OF KINDERH,ONE HUDSON STREET                       ,KINDERHOOK               ,NY,12106     ,14-0913619
2008,0000000969,1,          ,                              ,                         ,  ,01,0000470713,0,BEVERLY NATIONAL BANK         ,240 CABOT STREET                        ,BEVERLY                  ,MA,01915     ,04-1087364
2008,0000000976,1,          ,                              ,                         ,  ,01,0000148920,0,PUTNAM COUNTY NATIONAL BANK   ,P.O. BOX  10                            ,CARMEL                   ,NY,10512-0010,14-0984850
2008,0000000981,1,          ,                              ,                         ,  ,01,0000040984,0,STISSING NATIONAL BANK        ,2971 CHURCH STREET                      ,PINE PLAINS              ,NY,12567     ,14-1096135
2008,0000001027,1,          ,                              ,                         ,  ,01,0000384681,0,THE LYONS NATIONAL BANK       ,35 WILLIAM STREET                       ,LYONS                    ,NY,14489     ,15-0372430
2008,0000001081,1,          ,                              ,                         ,  ,01,0000533561,0,THE FIRST NATIONAL BANK OF GRE,P.O. BOX 8  40 CENTER SQUARE            ,GREENCASTLE              ,PA,17225     ,23-2293200
2008,0000001083,1,          ,                              ,                         ,  ,01,0000106833,0,FIRST NATIONAL BANK OF GROTON ,161 MAIN STREET                         ,GROTON                   ,NY,13073     ,15-0328960
2008,0000001090,1,          ,                              ,                         ,  ,01,0001301538,0,ALLIANCE BANK NA              ,120 MADISON ST                          ,SYRACUSE                 ,NY,13202     ,15-0405885
2008,0000001154,1,          ,                              ,                         ,  ,03,0000269024,0,FIRST NATIONAL BANK OF OTTAWA ,701 LASALLE STREET                      ,OTTAWA                   ,IL,61350     ,36-1588745
2008,0000001194,1,          ,                              ,                         ,  ,01,0000135677,0,ROCKPORT NATIONAL BANK        ,P.O. BOX 90  16 MAIN STREET             ,ROCKPORT                 ,MA,01966     ,04-1782774
2008,0000001253,1,          ,                              ,                         ,  ,01,0000339914,0,BALLSTON SPA NATIONAL BANK    ,87 FRONT ST.                            ,BALLSTON SPA             ,NY,12020     ,14-0486153
2008,0000001316,1,          ,                              ,                         ,  ,01,0124782289,0,PNC BANK N.A.                 ,249 FIFTH AVE.   MS P1-POPP-22-2        ,PITTSBURGH               ,PA,15222     ,22-1146430
2008,0000001354,1,          ,                              ,                         ,  ,01,0005182343,0,NBT BANK  NA                  ,52 S. BROAD ST                          ,NORWICH                  ,NY,13815     ,15-0395735
2008,0000001368,1,          ,                              ,                         ,  ,01,0000372427,0,COMMUNITY NATIONAL BANK       ,4811 US ROUTE 5  PO BOX 259             ,DERBY                    ,VT,05829     ,03-0288082
2008,0000001398,1,          ,                              ,                         ,  ,01,0000186600,0,NATIONAL BANK OF COXSACKIE    ,3-7 REED STREET                         ,COXSACKIE                ,NY,12051-0400,14-0912110
2008,0000001461,1,          ,                              ,                         ,  ,04,1251715000,0,CITIBANK  N.A.                ,153 EAST 53RD STREET  20TH FLOOR        ,NEW YORK                 ,NY,10022     ,13-5266470
