0000000001,"\\\"\\\"",WELLS FARGO BK NA
0000000008,"\\\"\\\"",JPMORGAN CHASE BK NA
0000000024,"\\\"\\\"",U S BK NA
0000000047,"\\\"\\\"",FIRST FNCL BK NA
0000000056,"\\\"\\\"",FIRST FNCL BK NA
0000000086,"\\\"\\\"",FIRST NB
0000000182,"\\\"\\\"",FIRST NB&TC OF LEAVENWORTH
0000000209,"\\\"\\\"",FIRST NB OF OMAHA
0000000249,"\\\"\\\"",FIRST NB OF PA
0000000324,"\\\"\\\"",FIRST NB&TC NEWTOWN
0000000325,"\\\"\\\"",FNB BK NA
0000000336,"\\\"\\\"",FIRST TN BK NA
0000000347,"\\\"\\\"",FIRST NB LACON
0000000497,"\\\"\\\"",FIRST NB OF SUFFIELD
0000000644,"\\\"\\\"",HONESDALE NB
0000000661,"\\\"\\\"",DNB FIRST NA
0000000676,"\\\"\\\"",NATIONAL GRAND BK OF MARBLEH
0000000866,"\\\"\\\"",MILFORD NB&TC
0000000929,"\\\"\\\"",NATIONAL UNION BK
0000000976,"\\\"\\\"",PUTNAM COUNTY NB OF CARMEL
0000001027,"\\\"\\\"",LYONS NB
0000001083,"\\\"\\\"",FIRST NB OF GROTON
0000001090,"\\\"\\\"",ALLIANCE BK NA
0000001154,"\\\"\\\"",FIRST NB OF OTTAWA
0000001194,"\\\"\\\"",ROCKPORT NB
0000001195,"\\\"\\\"",NATIONAL BK OF MIDDLEBURY
0000001253,"\\\"\\\"",BALLSTON SPA NB
0000001316,"\\\"\\\"",PNC BK NA
0000001354,"\\\"\\\"",NBT BK NA
0000001368,"\\\"\\\"",COMMUNITY NB
0000001398,"\\\"\\\"",NATIONAL BK OF COXSACKIE
0000001461,"\\\"\\\"",CITIBANK NA
0000001467,"\\\"\\\"",LANDMARK BK NA
0000001493,"\\\"\\\"",FIRST SOUTHERN NB
0000001516,"\\\"\\\"",UNION NAT CMNTY BK
0000001750,"\\\"\\\"",FIRST NB OF SANTA FE
0000001770,"\\\"\\\"",BOONE COUNTY NB OF COLUMBIA
0000001794,"\\\"\\\"",FIRST NB MN
0000001950,"\\\"\\\"",FIRST NB OF FORT SMITH
0000001997,"\\\"\\\"",NATIONAL B&TC
0000002036,"\\\"\\\"",VINTON CTY NB OF MCARTHUR
0000002068,"\\\"\\\"",FIRST DAKOTA NB
0000002137,"\\\"\\\"",NATIONAL PENN BK
0000002151,"\\\"\\\"",WILBER NB
0000002234,"\\\"\\\"",FIRST MRCH BK NA
0000002242,"\\\"\\\"",HAVANA NB
0000002302,"\\\"\\\"",FIRST NB
0000002311,"\\\"\\\"",CAMDEN NB
0000002333,"\\\"\\\"",UNIVEST NB&TC
0000002360,"\\\"\\\"",LCNB NB
0000002413,"\\\"\\\"",CITIZENS FIRST NB
0000002449,"\\\"\\\"",MERCHANTS NB
0000002477,"\\\"\\\"",FIRST NB
0000002503,"\\\"\\\"",HOMETOWN NB
0000002515,"\\\"\\\"",EPHRATA NB
0000002560,"\\\"\\\"",FARMERS NB OF CYNTHIANA
0000002725,"\\\"\\\"",FIRST NAT B&TC
0000002747,"\\\"\\\"",HORIZON BK NA
0000002780,"\\\"\\\"",FIRST NB OF WAHOO
0000002782,"\\\"\\\"",INTRUST BK NA
0000003060,"\\\"\\\"",JONES NB&TC OF SEWARD
0000003091,"\\\"\\\"",FIRST NB OF WELLINGTON
0000003105,"\\\"\\\"",FIRST NB
0000003124,"\\\"\\\"",SECURITY NB SIOUX CITY
0000003147,"\\\"\\\"",NATIONAL BK OF MALVERN
0000003175,"\\\"\\\"",CITIZENS BK NA
0000003218,"\\\"\\\"",CORNERBANK NA
0000003286,"\\\"\\\"",FIRST NB
0000003393,"\\\"\\\"",FIRST NB IN SIOUX FALLS
0000003434,"\\\"\\\"",FIRST NB OF WAMEGO
0000003509,"\\\"\\\"",CITIZENS BK OF KS NA
0000003533,"\\\"\\\"",FIRST NB
0000003543,"\\\"\\\"",FIRST NB&TC OF JUNCTION CITY
0000003654,"\\\"\\\"",FARMERS NB
